transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,18,Tachira,5,677,677,677,5,5,100.0,100.0,43.291451,39.058417,-4.233034,39.058417,36.97814,32.838639,-4.139501,-6.313311,-6.219778,0.093533,799086.0,2013,historical_volatility,common,5
2013,longitudinal,baseline,300,19,Trujillo,4,634,633,634,4,4,100.0,100.0,64.104775,61.023474,-3.081301,61.023474,59.789413,56.400725,-3.388688,-4.315361,-4.622749,-0.307387,500938.0,2013,historical_volatility,common,4
2013,longitudinal,baseline,300,20,Yaracuy,3,462,462,462,3,3,100.0,100.0,59.997593,55.209272,-4.78832,55.209272,56.530006,50.491431,-6.038574,-3.467587,-4.717841,-1.250254,405385.0,2013,historical_volatility,common,2
2013,longitudinal,baseline,300,21,Zulia,12,1215,1212,1215,12,12,100.0,100.0,53.343077,56.205882,2.862805,56.205882,47.688074,49.952873,2.264799,-5.655003,-6.253009,-0.598006,2332974.0,2013,historical_volatility,common,12
2013,longitudinal,baseline,300,22,Amazonas,2,126,124,126,2,2,100.0,100.0,53.618891,55.932941,2.314051,55.932941,52.458365,54.283874,1.825509,-1.160526,-1.649068,-0.488542,96290.0,2013,historical_volatility,common,1
2013,longitudinal,baseline,300,23,Delta Amacuro,2,178,177,178,2,2,100.0,100.0,66.843008,74.074074,7.231066,74.074074,61.63058,68.426127,6.795547,-5.212428,-5.647947,-0.43552,113246.0,2013,historical_volatility,common,2
2013,longitudinal,baseline,300,24,La Guaira,3,198,198,198,3,3,100.0,100.0,61.470904,67.834624,6.363721,67.834624,57.085172,62.874519,5.789347,-4.385732,-4.960105,-0.574374,265911.0,2013,historical_volatility,common,2
2013,longitudinal,baseline,300,01,Distrito Capital,9,899,899,899,9,9,100.0,100.0,54.890036,55.655355,0.765319,55.655355,51.320369,51.699289,0.378921,-3.569668,-3.956066,-0.386398,1608977.0,2013,recent_distance,operational,9
2013,longitudinal,baseline,300,02,Anzoategui,6,598,598,598,6,6,100.0,100.0,51.581067,52.00211,0.421043,52.00211,47.323629,46.637338,-0.686291,-4.257439,-5.364772,-1.107333,1006509.0,2013,recent_distance,operational,6
2013,longitudinal,baseline,300,03,Apure,3,317,316,317,3,3,100.0,100.0,66.112384,66.195327,0.082942,66.195327,61.76014,61.479029,-0.281111,-4.352244,-4.716298,-0.364053,309558.0,2013,recent_distance,operational,2
2013,longitudinal,baseline,300,04,Aragua,7,623,623,623,7,7,100.0,100.0,58.642441,59.783182,1.140741,59.783182,54.054519,53.914511,-0.140008,-4.587922,-5.868671,-1.280749,1164714.0,2013,recent_distance,operational,7
2013,longitudinal,baseline,300,05,Barinas,4,508,506,508,4,4,100.0,100.0,59.234242,58.168447,-1.065796,58.168447,52.188214,49.622465,-2.565749,-7.046028,-8.545981,-1.499953,523946.0,2013,recent_distance,operational,4
2013,longitudinal,baseline,300,06,Bolivar,6,708,707,708,6,6,100.0,100.0,53.738039,54.262929,0.52489,54.262929,47.879948,45.563662,-2.316286,-5.858091,-8.699267,-2.841176,941252.0,2013,recent_distance,operational,6
2013,longitudinal,baseline,300,07,Carabobo,8,658,658,658,8,8,100.0,100.0,54.506635,53.997458,-0.509178,53.997458,50.513511,49.632965,-0.880546,-3.993125,-4.364493,-0.371369,1516239.0,2013,recent_distance,operational,8
2013,longitudinal,baseline,300,08,Cojedes,2,248,248,248,2,2,100.0,100.0,65.315293,64.037406,-1.277887,64.037406,61.165345,59.492063,-1.673282,-4.149947,-4.545342,-0.395395,223028.0,2013,recent_distance,operational,2
2013,longitudinal,baseline,300,09,Falcon,4,691,691,691,4,4,100.0,100.0,59.876416,59.596794,-0.279622,59.596794,53.03365,51.768906,-1.264744,-6.842766,-7.827888,-0.985122,634614.0,2013,recent_distance,operational,4
